C1	S71 S851 S852 SS853
C2	S118 S119 S120 S121 S122 S123 S124 S125 S376 S377 SS645
C3	S129 S770 S771 S772 S773 SS884
C4	S54 S251 S252 S255 S256 S795 S796 S797 S798 S799 SS800
C5	S822 S823 S824 S825 S826 S827 S828 S872 S878 S879 SS881
C6	S3 S4 S5 S617 S618 S619 S620 S621 S622 S623 SS805
C7	S162 S502 S503 S504 S505 S506 S507 S508 S519 S521 SS545
C8	S43 S44 S45 S46 S47 S48 S49 S50 S51 S203 S205 S206 S207 S208 S209 S344 S345 S346 S347 S348 S349 S350 S351 S352 S353 S458 S459 S460 S461 S462 S463 S464 S465 S466 S467 S468 S470 S471 S473 S591 S592 S602 S604 S605 S711 S712 S714 S715 S716 S717 SS906
C9	S496 S497 S565 S829 S830 S836 S837 S838 S839 S840 SS841
C10	S309 S313 S315 S316 S382 SS887
C11	S134 S424 S431 SS831
C12	S182 S183 S184 S185 S186 S187 S188 S190 S928 S931 SS933
C13	S172 S294 S341 SS600
C14	S541 S890 S891 SS892
C15	S263 S268 S271 S272 S273 S567 S572 S573 S775 S833 SS835
C16	S264 S265 S266 S267 S269 S270 S384 S385 S386 S636 SS896
C17	S20 S33 S34 S35 S36 S37 S39 S40 S41 S42 S89 S157 S158 S159 S211 S212 S213 S214 S215 S216 S217 S220 S221 S222 S307 S310 S311 S312 S314 S475 S476 S477 S478 S479 S480 S481 S482 S483 S484 S562 S563 S564 S599 S603 S606 S607 S608 S614 S625 S627 SS725
C18	S91 S101 S116 S333 S449 SS886
C19	S29 S30 S31 S32 S154 S161 S164 S167 S191 S210 S218 S240 S253 S317 S318 S319 S320 S321 S322 S445 S446 S447 S448 S509 S528 S531 S566 S568 S569 S570 S571 S574 S575 S601 S664 S696 S697 S698 S699 S700 S701 S747 S766 S809 S842 S843 S844 S845 S846 S847 SS893
C20	S117 S755 S848 S850 S857 SS882
C21	S127 S557 S558 S559 S560 SS561
C22	S151 S153 S155 S156 S225 SS883
C23	S1 S111 S223 S803 S804 SS810
C24	S90 S148 S149 S150 S152 SS768
C25	S360 S361 S362 S363 S364 S365 S366 S367 S673 S674 SS821
C26	S580 S914 S915 SS916
C27	S383 S485 S486 SS487
C28	S38 S59 S702 S703 S704 S705 S706 S707 S708 S709 SS880
C29	S7 S8 S11 S12 S13 S14 S15 S16 S17 S18 S131 S132 S133 S135 S137 S138 S168 S202 S287 S288 S289 S290 S292 S293 S399 S400 S401 S402 S403 S404 S405 S406 S408 S409 S548 S551 S646 S647 S648 S649 S650 S651 S652 S653 S654 S655 S769 S801 S807 S808 SS811
C30	S226 S236 S817 SS832
C31	S163 S453 S454 S713 S776 S777 S873 S874 S875 S876 SS877
C32	S65 S69 S93 S94 S95 S96 S97 S98 S99 S100 S115 S243 S296 S343 S368 S369 S371 S372 S374 S510 S511 S512 S513 S514 S515 S516 S529 S609 S610 S611 S612 S613 S615 S616 S624 S735 S739 S756 S757 S758 S759 S760 S761 S762 S763 S764 S765 S888 S889 S917 SS929
C33	S2 S110 S126 S136 S139 S166 S189 S241 S259 S260 S291 S308 S331 S334 S355 S370 S373 S375 S390 S416 S428 S429 S491 S552 S553 S554 S556 S581 S666 S667 S668 S669 S670 S748 S750 S752 S767 S812 S813 S814 S815 S816 S819 S820 S913 S935 S936 S943 S944 S945 SS946
C34	S6 S9 S10 S52 S108 S128 S130 S160 S254 S257 S258 S274 S276 S278 S279 S280 S281 S282 S283 S284 S285 S286 S434 S435 S438 S439 S440 S441 S443 S444 S546 S547 S549 S550 S555 S676 S677 S684 S685 S686 S687 S688 S689 S690 S691 S693 S754 S802 S806 S834 SS898
C35	S19 S21 S22 S23 S24 S25 S26 S27 S28 S77 S142 S143 S144 S145 S146 S147 S170 S171 S295 S297 S298 S299 S300 S301 S302 S303 S304 S325 S326 S327 S339 S397 S398 S422 S423 S433 S436 S437 S576 S577 S578 S579 S644 S665 S678 S679 S680 S681 S682 S683 SS695
C36	S356 S358 S359 SS904
C37	S174 S175 S176 S177 S178 S179 S180 S181 S305 S306 SS488
C38	S92 S140 S141 S239 S261 S262 S275 S412 S413 S414 S415 S417 S419 S420 S517 S530 S532 S533 S534 S537 S538 S540 S543 S544 S634 S641 S656 S657 S658 S659 S660 S661 S662 S663 S746 S818 S901 S932 S934 S937 S938 S939 S940 S941 SS942
C39	S55 S169 S173 S204 S238 S324 S336 S342 S354 S357 S387 S388 S389 S391 S392 S393 S394 S395 S396 S430 S432 S489 S490 S535 S536 S539 S542 S598 S635 S637 S638 S639 S640 S642 S643 S675 S694 S718 S732 S788 S789 S790 S793 S794 S854 S907 S908 S909 S910 S911 SS912
C40	S53 S56 S57 S58 S277 S749 SS885
C41	S237 S410 S421 S469 S472 SS474
C42	S70 S323 S442 S671 S672 SS930
C43	S64 S66 S332 S335 S584 SS751
C44	S72 S73 S74 S75 S76 S78 S88 S219 S227 S228 S229 S231 S232 S233 S234 S235 S337 S338 S340 S418 S427 S492 S493 S495 S498 S499 S500 S501 S518 S593 S594 S595 S596 S597 S710 S719 S720 S731 S733 S734 S740 S742 S743 S774 S902 S903 SS905
C45	S407 S411 S425 S426 S626 SS849
C46	S60 S61 S62 S63 S67 S68 S79 S80 S81 S82 S83 S84 S85 S86 S87 S102 S103 S104 S105 S106 S107 S109 S112 S113 S114 S165 S192 S193 S194 S195 S196 S197 S198 S199 S200 S201 S224 S230 S242 S244 S245 S246 S247 S248 S249 S250 S328 S329 S330 S378 S379 S380 S381 S450 S451 S452 S455 S456 S457 S494 S520 S522 S523 S524 S525 S526 S527 S582 S583 S585 S586 S587 S588 S589 S590 S628 S629 S630 S631 S632 S633 S692 S721 S722 S723 S724 S726 S727 S728 S729 S730 S736 S737 S738 S741 S744 S745 S753 S778 S779 S780 S781 S782 S783 S784 S785 S786 S787 S791 S792 S855 S856 S858 S859 S860 S861 S862 S863 S864 S865 S866 S867 S868 S869 S870 S871 S894 S895 S897 S899 S900 S918 S919 S920 S921 S922 S923 S924 S925 S926 SS927
