0	1 120 122 126 127 128 131 132 133 140 179 182 215 293 326 327 328 329 350 351 352 354 417 418 431 47 489 490 549 572 642 647 648 649 663 669 670 671 672 684 696 697 698 699 700 701 702 703 704 705 707 727 744 751 752 755 785 83 843 867 897 898 899 902 912 935 936 939 940 953 954 98 
1	100 101 102 103 104 105 106 107 108 116 117 118 12 121 129 130 134 135 136 137 138 139 14 141 142 143 149 15 150 151 152 153 154 155 157 16 165 166 167 168 169 17 170 171 172 173 174 175 176 177 178 180 181 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 2 200 201 202 203 204 205 206 211 212 213 214 216 217 218 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 237 238 239 240 241 242 243 244 245 246 247 248 249 250 265 267 269 27 270 271 272 273 274 275 276 277 28 289 29 290 292 298 299 3 30 300 301 304 307 310 311 313 314 315 316 317 318 319 321 323 324 325 330 331 332 333 334 335 336 337 338 339 34 340 341 342 343 344 345 346 347 348 349 35 353 355 359 36 360 361 362 363 364 365 374 375 38 381 39 391 392 393 395 396 397 398 399 4 400 401 402 403 404 405 406 407 408 409 41 410 411 412 413 414 415 416 419 42 420 421 427 428 43 433 434 435 44 440 448 451 452 453 454 456 458 459 46 461 462 463 464 465 466 467 468 469 473 475 476 477 478 479 480 481 485 486 487 488 491 494 495 496 497 498 499 5 507 510 511 512 513 514 515 517 519 521 522 523 524 525 526 527 528 529 53 530 534 535 536 537 538 539 54 540 541 542 543 544 545 546 547 548 55 553 554 555 556 557 558 559 56 560 561 562 564 565 567 568 569 57 570 571 573 574 575 576 58 582 583 584 585 586 587 588 59 597 598 6 60 600 602 603 604 605 606 607 608 61 611 612 613 614 615 616 617 618 619 62 620 621 622 623 624 625 626 627 628 629 63 630 631 632 633 634 635 637 638 639 64 640 641 643 65 650 651 652 653 654 655 656 657 658 659 66 660 661 662 664 665 666 667 668 67 674 68 681 682 683 685 686 687 689 69 690 691 692 693 694 695 7 70 706 708 709 71 711 713 714 715 716 717 718 719 72 720 721 728 729 73 730 732 733 734 735 736 737 738 739 74 740 741 742 743 746 747 748 749 750 753 754 756 757 758 759 76 761 762 763 764 765 766 767 768 769 77 770 771 774 777 778 779 78 780 782 783 784 786 787 788 789 79 790 791 792 793 794 795 796 797 798 80 803 804 805 806 807 808 81 810 811 812 813 815 816 817 818 819 82 820 821 822 823 824 825 826 827 828 829 830 831 833 834 837 84 844 845 846 847 848 849 85 850 851 852 853 854 855 856 857 858 859 86 860 861 862 863 864 865 866 868 869 87 870 871 872 873 874 875 876 877 878 88 880 881 882 883 884 885 886 887 888 889 89 890 891 892 893 896 90 901 903 904 905 906 907 908 91 910 911 913 914 915 916 917 918 919 92 920 921 927 928 929 93 930 94 947 948 949 95 950 951 952 955 956 96 97 
2	207 208 209 210 291 294 295 296 297 442 443 444 445 446 447 449 457 470 636 644 645 646 688 781 814 879 
3	10 11 13 219 303 305 306 322 712 8 9 942 943 946 
4	110 111 112 113 114 115 119 45 579 772 773 776 922 923 924 925 926 
5	268 383 384 385 386 387 388 389 390 550 551 
6	109 18 19 20 21 22 23 508 509 518 520 
7	376 377 378 379 380 474 
8	24 25 26 460 
9	367 368 369 37 370 372 722 724 725 726 832 
10	251 252 253 254 255 256 257 258 31 32 33 432 471 472 484 
11	236 320 356 357 358 366 371 373 894 895 900 
12	40 426 430 673 675 676 677 678 679 680 
13	282 302 436 437 438 439 441 731 809 836 
14	394 552 577 578 580 581 
15	48 49 50 51 52 799 800 801 802 909 
16	158 159 160 161 162 163 164 308 309 516 835 
17	312 482 483 775 931 932 933 934 937 938 941 
18	422 423 424 75 
19	492 493 500 501 502 503 504 505 506 945 99 
20	266 278 279 280 281 283 
21	123 124 125 944 
22	144 145 146 147 148 156 599 601 609 610 
23	259 260 261 262 263 264 425 429 450 455 745 
24	284 285 286 287 288 760 
25	382 563 566 589 590 591 592 593 594 595 596 
26	531 532 533 710 
27	723 838 839 840 841 842 
