0	1 111 134 223 360 361 362 363 364 365 366 367 424 431 673 674 71 803 804 810 821 831 851 852 853 
1	142 143 144 145 146 147 170 171 19 21 22 23 24 25 26 27 28 295 297 298 299 300 301 302 303 304 325 326 327 339 397 398 422 423 433 436 437 576 577 578 579 644 665 678 679 680 681 682 683 695 77 
2	110 118 119 120 121 122 123 124 125 126 136 139 166 189 2 241 259 260 291 308 323 331 334 355 370 373 375 376 377 390 416 428 429 442 491 496 497 552 553 554 556 565 581 645 666 667 668 669 670 671 672 70 748 750 752 767 812 813 814 815 816 819 820 829 830 836 837 838 839 840 841 913 930 935 936 943 944 945 946 
3	102 103 104 105 106 107 109 112 113 114 165 192 193 194 195 196 197 198 199 200 201 224 230 242 244 245 246 247 248 249 250 328 329 330 378 379 380 381 450 451 452 455 456 457 494 520 522 523 524 525 526 527 582 583 585 586 587 588 589 590 60 61 62 628 629 63 630 631 632 633 67 68 692 721 722 723 724 726 727 728 729 730 736 737 738 741 744 745 753 778 779 780 781 782 783 784 785 786 787 79 791 792 80 81 82 83 84 85 855 856 858 859 86 860 861 862 863 864 865 866 867 868 869 87 870 871 894 895 897 899 900 918 919 920 921 922 923 924 925 926 927 
4	3 4 5 617 618 619 620 621 622 623 805 
5	407 411 425 426 626 849 
6	10 108 128 130 160 254 257 258 274 276 278 279 280 281 282 283 284 285 286 434 435 438 439 440 441 443 444 52 546 547 549 550 555 6 676 677 684 685 686 687 688 689 690 691 693 754 802 806 834 898 9 
7	100 115 243 296 343 368 369 371 372 374 510 511 512 513 514 515 516 529 609 610 611 612 613 615 616 624 65 69 735 739 756 757 758 759 760 761 762 763 764 765 888 889 917 929 93 94 95 96 97 98 99 
8	11 12 13 131 132 133 135 137 138 14 15 16 168 17 18 202 287 288 289 290 292 293 399 400 401 402 403 404 405 406 408 409 548 551 646 647 648 649 650 651 652 653 654 655 7 769 8 801 807 808 811 
9	163 453 454 541 713 776 777 873 874 875 876 877 890 891 892 
10	157 158 159 20 211 212 213 214 215 216 217 220 221 222 277 307 310 311 312 314 33 34 35 36 37 39 40 41 42 475 476 477 478 479 480 481 482 483 484 53 56 562 563 564 57 58 599 603 606 607 608 614 625 627 725 749 885 89 
11	203 205 206 207 208 209 344 345 346 347 348 349 350 351 352 353 43 44 45 458 459 46 460 461 462 463 464 465 466 467 468 47 470 471 473 48 49 50 51 591 592 602 604 605 711 712 714 715 716 717 906 
12	117 154 161 164 167 191 210 218 240 253 29 30 31 317 318 319 32 320 321 322 445 446 447 448 509 528 531 566 568 569 570 571 574 575 601 664 696 697 698 699 700 701 747 755 766 809 842 843 844 845 846 847 848 850 857 882 893 
13	140 141 239 261 262 275 412 413 414 415 417 419 420 517 530 532 533 534 537 538 540 543 544 634 641 656 657 658 659 660 661 662 663 746 818 901 92 932 934 937 938 939 940 941 942 
14	38 59 702 703 704 705 706 707 708 709 880 
15	129 770 771 772 773 884 
16	237 309 313 315 316 382 410 421 469 472 474 887 
17	263 268 271 272 273 567 572 573 775 833 835 
18	251 252 255 256 54 580 795 796 797 798 799 800 914 915 916 
19	162 332 335 502 503 504 505 506 507 508 519 521 545 584 64 66 751 
20	127 356 358 359 557 558 559 560 561 904 
21	264 265 266 267 269 270 384 385 386 636 896 
22	169 173 204 238 324 336 342 354 357 387 388 389 391 392 393 394 395 396 430 432 489 490 535 536 539 542 55 598 635 637 638 639 640 642 643 675 694 718 732 788 789 790 793 794 854 907 908 909 910 911 912 
23	101 116 172 294 333 341 449 600 822 823 824 825 826 827 828 872 878 879 881 886 91 
24	219 227 228 229 231 232 233 234 235 337 338 340 418 427 492 493 495 498 499 500 501 518 593 594 595 596 597 710 719 72 720 73 731 733 734 74 740 742 743 75 76 774 78 88 902 903 905 
25	148 149 150 152 768 90 
26	151 153 155 156 225 883 
27	174 175 176 177 178 179 180 181 305 306 383 485 486 487 488 
28	182 183 184 185 186 187 188 190 928 931 933 
29	226 236 817 832 
