0	1 156 299 300 302 320 341 365 402 407 408 409 624 632 699 720 722 773 908 912 920 923 
1	184 186 187 188 189 190 191 192 193 194 195 440 443 445 447 448 497 579 585 590 592 593 596 597 598 600 601 66 67 68 71 72 74 740 741 743 744 745 746 747 749 75 76 764 77 78 79 799 80 81 854 
2	196 256 324 325 326 328 329 330 331 332 334 335 337 338 339 340 439 441 442 444 446 449 450 463 467 576 582 583 587 588 589 591 636 637 708 709 73 761 766 810 828 83 913 
3	101 114 126 128 13 2 269 275 3 361 370 375 395 399 403 406 462 498 499 538 539 542 693 723 732 739 748 750 752 758 765 767 817 844 86 924 930 932 934 
4	119 120 125 228 229 230 231 232 233 235 238 313 4 594 595 602 607 615 616 617 618 619 620 621 622 800 
5	115 118 239 241 242 260 261 262 263 264 265 266 267 270 271 272 276 412 413 418 419 420 421 422 423 424 425 51 528 543 674 675 682 683 684 685 686 687 688 7 726 754 798 8 801 824 825 826 827 875 931 
6	10 103 121 123 124 127 14 16 17 273 274 277 278 279 280 281 282 283 284 336 378 379 380 381 382 383 384 385 451 496 527 529 532 533 534 536 537 548 640 642 643 644 645 646 647 648 692 755 803 805 9 
7	146 18 426 427 429 5 6 625 820 821 855 866 867 87 870 871 88 89 90 92 93 98 
8	152 153 200 201 202 203 204 205 206 209 210 22 257 297 298 34 35 36 37 38 39 40 41 42 43 457 460 461 545 549 550 551 552 553 554 604 605 606 712 713 715 717 718 719 892 894 899 905 911 918 921 
9	159 179 255 259 304 319 333 351 352 353 354 357 358 487 488 489 490 491 492 493 558 574 603 608 610 612 638 716 721 729 730 736 756 757 759 760 818 868 874 876 877 878 893 916 917 925 926 94 95 96 97 
10	11 12 129 130 132 133 134 137 138 15 163 19 387 388 389 390 392 393 394 396 510 511 512 513 530 531 540 544 659 660 662 663 664 665 666 667 668 669 806 807 808 809 935 936 938 939 940 941 942 943 944 
11	258 343 344 345 346 347 348 349 350 355 356 360 366 373 472 500 501 502 503 504 521 523 525 526 535 541 547 609 611 613 614 634 649 70 84 845 85 880 884 885 886 887 888 889 890 891 900 903 909 91 914 915 919 922 99 
12	104 105 107 108 109 110 111 112 240 359 639 
13	161 20 21 23 24 25 26 27 285 286 287 288 289 290 291 292 293 294 314 315 316 317 318 376 377 386 411 414 415 416 417 568 569 570 571 572 573 635 671 676 677 678 679 680 681 69 694 
14	183 185 198 199 207 227 28 30 305 306 308 309 31 310 311 312 32 33 430 431 432 433 434 435 438 556 557 559 560 561 562 564 565 566 599 656 696 697 698 702 703 838 839 840 841 842 843 847 848 849 850 
15	157 171 172 173 174 175 176 177 178 181 245 251 254 436 437 563 772 829 830 831 835 836 837 857 858 859 860 861 862 863 864 928 933 
16	113 162 222 29 321 342 367 368 369 371 372 374 400 410 45 465 466 47 49 50 515 516 517 518 519 567 578 626 627 630 631 633 672 690 711 714 725 753 774 777 778 783 787 788 823 872 902 904 906 907 910 
17	164 165 166 167 168 169 170 295 296 301 464 479 480 481 482 483 484 485 486 494 495 522 
18	102 131 135 136 139 140 149 150 234 244 252 391 397 398 405 44 505 506 507 508 509 514 520 577 623 628 64 650 651 652 653 654 655 700 724 771 775 776 785 786 789 802 811 812 813 814 815 816 865 927 937 
19	100 223 224 226 246 247 248 249 250 253 362 363 364 52 53 54 55 56 629 751 883 
20	46 641 673 689 731 882 
21	236 237 48 790 791 792 793 794 795 796 797 
22	106 657 658 691 701 704 705 706 707 779 780 781 782 784 869 
23	151 154 155 243 268 468 469 470 473 474 546 555 832 833 834 
24	116 208 212 213 214 215 216 217 218 219 220 221 322 323 327 452 453 454 455 456 458 459 471 475 476 477 478 57 58 580 581 584 586 59 60 61 62 63 65 727 728 733 734 735 737 738 762 763 768 769 770 846 895 896 897 898 901 
25	122 211 524 661 742 82 
26	141 142 148 428 670 695 710 851 852 853 
27	143 144 145 147 197 225 303 401 404 856 873 881 
28	117 575 804 819 822 929 
29	158 160 180 182 307 879 
